Etablissement;cat;Nb chb;Taux VT;Mois;Montant (50%);Taux d'occupation;;
1- ANTSIRANANA:Diégo ville:HOTEL CAP DIEGO;2E;10;1500;NOVEMBRE 2015;11 250,00;5,00%;;
Moyenne 1- ANTSIRANANA:Diégo ville:HOTEL CAP DIEGO;;;;;;5,17%;;
1- ANTSIRANANA:Diégo ville:HOTEL CENTRAL;2E;16;1500;DECEMBRE 2015;4 500,00;1,25%;;
1- ANTSIRANANA:Diégo ville:HOTEL CENTRAL;2E;16;1500;NOVEMBRE 2015;4 500,00;1,25%;;
1- ANTSIRANANA:Diégo ville:HOTEL CENTRAL;2E;16;1500;DECEMBRE 2015;2 250,00;0,63%;;
1- ANTSIRANANA:Diégo ville:HOTEL CENTRAL;2E;16;1500;NOVEMBRE 2015;2 250,00;0,63%;;
Moyenne 1- ANTSIRANANA:Diégo ville:HOTEL CENTRAL;;;;;;0,94%;;
1- ANTSIRANANA:Diégo ville:HOTEL DE LA BAIE;2E;12;1500;DECEMBRE 2015;41 250,00;15,28%;;
1- ANTSIRANANA:Diégo ville:HOTEL DE LA BAIE;2E;12;1500;NOVEMBRE 2015;9 750,00;3,61%;;
Moyenne 1- ANTSIRANANA:Diégo ville:HOTEL DE LA BAIE;;;;;;9,44%;;
1- ANTSIRANANA:Diégo ville:HOTEL IMPERIAL;3E;30;5000;NOVEMBRE 2015;1 022 500,00;45,44%;;
1- ANTSIRANANA:Diégo ville:HOTEL IMPERIAL;3E;30;5000;DECEMBRE 2015;655 000,00;29,11%;;
Moyenne 1- ANTSIRANANA:Diégo ville:HOTEL IMPERIAL;;;;;;37,28%;;
1- ANTSIRANANA:Diégo ville:HOTEL LAKANA;3R;5;1000;DECEMBRE 2015;56 000,00;74,67%;;
1- ANTSIRANANA:Diégo ville:HOTEL LAKANA;3R;5;1000;NOVEMBRE 2015;44 000,00;58,67%;;
Moyenne 1- ANTSIRANANA:Diégo ville:HOTEL LAKANA;;;;;;66,67%;;
1- ANTSIRANANA:Diégo ville:HOTEL LE PACIFIQUE;R;6;1000;NOVEMBRE 2015;;0,00%;;
Moyenne 1- ANTSIRANANA:Diégo ville:HOTEL LE PACIFIQUE;;;;;;0,00%;;
1- ANTSIRANANA:Diégo ville:HOTEL LE VICTORIA;2E;19;1500;DECEMBRE 2015;37 500,00;8,77%;;
1- ANTSIRANANA:Diégo ville:HOTEL LE VICTORIA;2E;19;1500;NOVEMBRE 2015;28 500,00;6,67%;;
Moyenne 1- ANTSIRANANA:Diégo ville:HOTEL LE VICTORIA;;;;;;7,72%;;
1- ANTSIRANANA:Diégo ville:HOTEL MORA MORA;3R;8;1000;DECEMBRE 2015;25 000,00;20,83%;;
1- ANTSIRANANA:Diégo ville:HOTEL MORA MORA;3R;8;1000;NOVEMBRE 2015;20 000,00;16,67%;;
Moyenne 1- ANTSIRANANA:Diégo ville:HOTEL MORA MORA;;;;;;18,75%;;
1- ANTSIRANANA:Diégo ville:HOTEL NOSY DE L'ANKARANA;R;12;1000;DECEMBRE 2015;12 500,00;6,94%;;
1- ANTSIRANANA:Diégo ville:HOTEL NOSY DE L'ANKARANA;R;12;1000;NOVEMBRE 2015;12 000,00;6,67%;;
Moyenne 1- ANTSIRANANA:Diégo ville:HOTEL NOSY DE L'ANKARANA;;;;;;6,81%;;
1- ANTSIRANANA:Diégo ville:HOTEL OCEAN;R;6;1000;NOVEMBRE 2015;1 100,00;1,22%;;
1- ANTSIRANANA:Diégo ville:HOTEL OCEAN;R;6;1000;DECEMBRE 2015;500;0,56%;;
Moyenne 1- ANTSIRANANA:Diégo ville:HOTEL OCEAN;;;;;;0,89%;;
1- ANTSIRANANA:Diégo ville:HOTEL PACIFIQUE;R;6;1000;DECEMBRE 2015;14 500,00;16,11%;;
1- ANTSIRANANA:Diégo ville:HOTEL PACIFIQUE;R;6;1000;NOVEMBRE 2015;1 500,00;1,67%;;
Moyenne 1- ANTSIRANANA:Diégo ville:HOTEL PACIFIQUE;;;;;;8,89%;;
1- ANTSIRANANA:Diégo ville:HOTEL PLAZA;3R;20;1000;DECEMBRE 2015;36 000,00;12,00%;;
1- ANTSIRANANA:Diégo ville:HOTEL PLAZA;3R;20;1000;NOVEMBRE 2015;21 000,00;7,00%;;
Moyenne 1- ANTSIRANANA:Diégo ville:HOTEL PLAZA;;;;;;9,50%;;
1- ANTSIRANANA:Diégo ville:HOTEL SHANGRI LA;R;5;1000;NOVEMBRE 2015;5 000,00;6,67%;;
Moyenne 1- ANTSIRANANA:Diégo ville:HOTEL SHANGRI LA;;;;;;6,67%;;
1- ANTSIRANANA:Diégo ville:IHARANA BUSH CAMP;NC;12;1000;NOVEMBRE 2015;91 500,00;50,83%;;
1- ANTSIRANANA:Diégo ville:IHARANA BUSH CAMP;NC;12;1000;MAI 2015;51 000,00;28,33%;;
1- ANTSIRANANA:Diégo ville:IHARANA BUSH CAMP;NC;12;1000;DECEMBRE 2015;6 000,00;3,33%;;
Moyenne 1- ANTSIRANANA:Diégo ville:IHARANA BUSH CAMP;;;;;;27,50%;;
1- ANTSIRANANA:Diégo ville:JUNGLE PARK;R;5;1000;NOVEMBRE 2015;10 000,00;13,33%;;
Moyenne 1- ANTSIRANANA:Diégo ville:JUNGLE PARK;;;;;;13,33%;;
1- ANTSIRANANA:Diégo ville:KARTIFFA'HOTEL I;2R;14;1000;DECEMBRE 2015;30 250,00;14,40%;;
1- ANTSIRANANA:Diégo ville:KARTIFFA'HOTEL I;2R;14;1000;NOVEMBRE 2015;26 500,00;12,62%;;
1- ANTSIRANANA:Diégo ville:KARTIFFA'HOTEL I;2R;14;1000;OCTOBRE 2015;24 000,00;11,43%;;
Moyenne 1- ANTSIRANANA:Diégo ville:KARTIFFA'HOTEL I;;;;;;12,82%;;
1- ANTSIRANANA:Diégo ville:KARTIFFA'HOTEL II;2R;15;1000;DECEMBRE 2015;30 800,00;13,69%;;
1- ANTSIRANANA:Diégo ville:KARTIFFA'HOTEL II;2R;15;1000;NOVEMBRE 2015;28 000,00;12,44%;;
1- ANTSIRANANA:Diégo ville:KARTIFFA'HOTEL II;2R;15;1000;OCTOBRE 2015;25 500,00;11,33%;;
Moyenne 1- ANTSIRANANA:Diégo ville:KARTIFFA'HOTEL II;;;;;;12,49%;;
1- ANTSIRANANA:Diégo ville:KIKOO' HOTEL;2R;8;1000;DECEMBRE 2015;20 900,00;17,42%;;
1- ANTSIRANANA:Diégo ville:KIKOO' HOTEL;2R;8;1000;OCTOBRE 2015;17 600,00;14,67%;;
1- ANTSIRANANA:Diégo ville:KIKOO' HOTEL;2R;8;1000;NOVEMBRE 2015;17 500,00;14,58%;;
Moyenne 1- ANTSIRANANA:Diégo ville:KIKOO' HOTEL;;;;;;15,56%;;
1- ANTSIRANANA:Diégo ville:LA BELLE AVENTURE;R;10;1000;NOVEMBRE 2015;14 000,00;9,33%;;
1- ANTSIRANANA:Diégo ville:LA BELLE AVENTURE;R;10;1000;DECEMBRE 2015;8 000,00;5,33%;;
Moyenne 1- ANTSIRANANA:Diégo ville:LA BELLE AVENTURE;;;;;;7,33%;;
1- ANTSIRANANA:Diégo ville:LA CYGOGNE;R;5;1000;DECEMBRE 2015;11 500,00;15,33%;;
1- ANTSIRANANA:Diégo ville:LA CYGOGNE;R;5;1000;NOVEMBRE 2015;5 500,00;7,33%;;
Moyenne 1- ANTSIRANANA:Diégo ville:LA CYGOGNE;;;;;;11,33%;;
1- ANTSIRANANA:Diégo ville:LA ROSTICCERIA;R;6;1000;NOVEMBRE 2015;5 000,00;5,56%;;
1- ANTSIRANANA:Diégo ville:LA ROSTICCERIA;R;6;1000;DECEMBRE 2015;3 500,00;3,89%;;
Moyenne 1- ANTSIRANANA:Diégo ville:LA ROSTICCERIA;;;;;;4,72%;;
1- ANTSIRANANA:Diégo ville:LA TERRASSE DU VOYAGEUR;2E;26;1500;JUILLET 2015;132 000,00;22,56%;;
1- ANTSIRANANA:Diégo ville:LA TERRASSE DU VOYAGEUR;2E;26;1500;AOUT 2015;53 625,00;9,17%;;
1- ANTSIRANANA:Diégo ville:LA TERRASSE DU VOYAGEUR;2E;26;1500;JUIN 2015;49 500,00;8,46%;;
1- ANTSIRANANA:Diégo ville:LA TERRASSE DU VOYAGEUR;2E;26;1500;DECEMBRE 2015;43 725,00;7,47%;;
1- ANTSIRANANA:Diégo ville:LA TERRASSE DU VOYAGEUR;2E;26;1500;AVRIL 2015;41 250,00;7,05%;;
1- ANTSIRANANA:Diégo ville:LA TERRASSE DU VOYAGEUR;2E;26;1500;FEVRIER 2015;38 775,00;6,63%;;
1- ANTSIRANANA:Diégo ville:LA TERRASSE DU VOYAGEUR;2E;26;1500;MARS 2015;38 775,00;6,63%;;
1- ANTSIRANANA:Diégo ville:LA TERRASSE DU VOYAGEUR;2E;26;1500;SEPTEMBRE 2015;32 175,00;5,50%;;
1- ANTSIRANANA:Diégo ville:LA TERRASSE DU VOYAGEUR;2E;26;1500;NOVEMBRE 2015;21 000,00;3,59%;;
1- ANTSIRANANA:Diégo ville:LA TERRASSE DU VOYAGEUR;2E;26;1500;MAI 2015;20 625,00;3,53%;;
1- ANTSIRANANA:Diégo ville:LA TERRASSE DU VOYAGEUR;2E;26;1500;OCTOBRE 2015;14 025,00;2,40%;;
1- ANTSIRANANA:Diégo ville:LA TERRASSE DU VOYAGEUR;2E;26;1500;JANVIER 2015;4 125,00;0,71%;;
Moyenne 1- ANTSIRANANA:Diégo ville:LA TERRASSE DU VOYAGEUR;;;;;;6,97%;;
1- ANTSIRANANA:Diégo ville:LE COLBERT;3E;32;5000;NOVEMBRE 2015;447 500,00;18,65%;;
